nombre,es_valido,descripcion
posesion_0001.gif,True,
posesion_0002.gif,True,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0002.gif,False,
posesion_0003.gif,False,
posesion_0004.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0002.gif,False,
posesion_0003.gif,False,
posesion_0001.gif,False,
posesion_0002.gif,True,
posesion_0001.gif,False,
posesion_0002.gif,False,
posesion_0003.gif,False,
posesion_0001.gif,False,
posesion_0002.gif,False,
posesion_0003.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,True,adad
posesion_0002.gif,False,
posesion_0001.gif,False,
posesion_0002.gif,False,
posesion_0001.gif,False,
posesion_0002.gif,False,
posesion_0003.gif,False,
posesion_0001.gif,False,
posesion_0002.gif,False,
posesion_0003.gif,False,
posesion_0004.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0002.gif,False,
posesion_0002.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0002.gif,False,
posesion_0001.gif,False,
posesion_0002.gif,False,
posesion_0003.gif,False,
posesion_0004.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0002.gif,False,
posesion_0003.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0002.gif,False,
posesion_0003.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0003.gif,False,
posesion_0004.gif,False,
posesion_0001.gif,False,
posesion_0001.gif,False,
posesion_0002.gif,False,
